Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.0.5-10.10.0.100-48402-80-6,10.10.0.5,48402,10.10.0.100,80,6,26/02/2026 03:28:30 PM,3714,6,4,131.0,695.0,131.0,0.0,21.83333333333333,53.48052605076605,497.0,0.0,173.75,234.84516175557036,222401.72320947767,2692.5148088314486,412.66666666666674,1174.5702405560935,3544.0,5.0,3714.0,742.8,1577.9930925070616,3565.0,11.0,3687.0,1229.0,2005.2184419658624,3544.0,33.0,0,0,0,0,188,136,1615.5088852988692,1077.0059235325796,0.0,497.0,75.09090909090908,155.35408237021295,24134.890909090907,1,2,1,3,8,0,0,0,0.0,82.6,21.83333333333333,173.75,0,0,0,0,0,0,0,0,0,0,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.4-10.10.0.100-57939-53-17,10.10.0.4,57939,10.10.0.100,53,17,26/02/2026 03:41:25 PM,1742,1,1,38.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,38.0,0.0,43628.01377726751,1148.105625717566,1742.0,0.0,1742.0,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,574.052812858783,574.052812858783,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,57.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.5-10.10.0.100-23138-53-17,10.10.0.5,23138,10.10.0.100,53,17,26/02/2026 03:42:02 PM,3878,1,1,38.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,38.0,0.0,19597.73078906653,515.7297576070139,3878.0,0.0,3878.0,3878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,257.86487880350694,257.86487880350694,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,57.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.6.209-10.10.0.100-40279-53-17,10.10.6.209,40279,10.10.0.100,53,17,26/02/2026 01:37:38 PM,19343,2,0,1188.0,0.0,757.0,431.0,594.0,230.5168106668145,0.0,0.0,0.0,0.0,61417.5670785297,103.39657757328231,19343.0,0.0,19343.0,19343.0,19343.0,19343.0,0.0,19343.0,19343.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,103.39657757328231,0.0,431.0,757.0,539.6666666666666,188.216187755818,35425.333333333336,0,0,0,0,0,0,0,0,0.0,809.5,594.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.3-10.10.0.100-30251-80-6,10.10.0.3,30251,10.10.0.100,80,6,26/02/2026 02:47:18 PM,40,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999.99999999999,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,25000.0,25000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.5-10.10.0.100-38306-80-6,10.10.0.5,38306,10.10.0.100,80,6,26/02/2026 03:28:39 PM,5704,6,5,134.0,695.0,134.0,0.0,22.333333333333336,54.705270922157645,497.0,0.0,139.0,217.7200036744442,145336.6058906031,1928.4712482468444,570.4,1590.4905043553215,5089.0,3.0,5405.0,1081.0,2254.049577981815,5112.0,17.0,5695.0,1423.75,2450.2681996059127,5089.0,39.0,0,0,0,0,200,168,1051.8934081346424,876.577840112202,0.0,497.0,69.08333333333334,149.8177428097422,22445.356060606064,2,2,0,3,10,0,0,0,0.0,75.36363636363636,22.33333333333333,139.0,0,0,0,0,0,0,0,0,0,0,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.2.20-10.10.0.100-43887-123-17,10.10.2.20,43887,10.10.0.100,123,17,26/02/2026 01:37:35 PM,16067,2,0,1305.0,0.0,783.0,522.0,652.5,184.5548698896889,0.0,0.0,0.0,0.0,81222.3812783967,124.47874525424784,16067.0,0.0,16067.0,16067.0,16067.0,16067.0,0.0,16067.0,16067.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,124.47874525424784,0.0,522.0,783.0,609.0,150.68842025849233,22707.0,0,0,0,0,0,0,0,0,0.0,913.5,652.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.6-10.10.0.100-55939-80-6,10.10.0.6,55939,10.10.0.100,80,6,26/02/2026 02:46:45 PM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.7-10.10.0.100-33062-53-17,10.10.0.7,33062,10.10.0.100,53,17,26/02/2026 03:41:40 PM,2187,1,1,38.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,38.0,0.0,34750.80018289894,914.4947416552354,2187.0,0.0,2187.0,2187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,457.2473708276177,457.2473708276177,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,57.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.10.0.7-10.10.0.100-38530-80-6,10.10.0.7,38530,10.10.0.100,80,6,26/02/2026 03:28:33 PM,4408,6,4,135.0,695.0,135.0,0.0,22.5,55.11351921262151,497.0,0.0,173.75,234.84516175557036,188294.0108892922,2268.602540834846,489.77777777777777,1332.6351505361265,4040.0,4.0,4408.0,881.6,1780.5415749147787,4064.0,24.0,4379.0,1459.6666666666663,2235.593955380389,4040.0,104.0,0,0,0,0,188,136,1361.1615245009075,907.4410163339384,0.0,497.0,75.45454545454545,155.5026454028121,24181.072727272727,1,2,1,3,8,0,0,0,0.0,83.0,22.5,173.75,0,0,0,0,0,0,0,0,0,0,64240,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
