Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
13.107.246.68-192.168.0.194-443-64631-6,13.107.246.68,443,192.168.0.194,64631,6,25/02/2026 03:39:36 PM,677,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,93057.6070901034,7385.5243722304285,169.25,222.20317279462955,468.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,468.0,0.0,468.0,468.0,1,0,0,0,60,40,4431.314623338257,2954.2097488921713,0.0,39.0,17.0,19.411336893681487,376.79999999999995,2,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,0,0,0,0,148,511,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-192.168.0.126-51157-8081-6,192.168.0.194,51157,192.168.0.126,8081,6,25/02/2026 03:39:34 PM,44672778,1526,4092,13591.0,5939421.0,1460.0,0.0,8.90629095674965,110.21407365907983,1460.0,0.0,1451.4714076246328,102.95826682009528,133258.1555595222,125.75891295589453,7953.138330069439,301361.42142870044,1.5134785E7,0.0,4.4672778E7,29293.62491803278,578005.0512870577,1.5137006E7,0.0,4.3910545E7,10733.450256661017,353210.2309848242,1.5134785E7,0.0,0,0,0,0,30520,81852,34.15950537036224,91.59940758553229,0.0,1460.0,1059.4434952838576,650.3320280234933,422931.74667314976,1,0,1,308,5618,0,0,0,2.0,1059.632075471698,8.906290956749672,1451.4714076246335,0,0,0,1487811,1023,9984085,254,2265,682,989903,255,480,17,20,17054.0,27633.28824081564,48941.0,104.0,1.2369671666666666E7,4415653.029181792,1.5134785E7,7277182.0,NeedManualLabel
192.168.0.194-192.168.0.126-62782-8081-6,192.168.0.194,62782,192.168.0.126,8081,6,25/02/2026 03:39:34 PM,45697531,1575,4185,18798.0,6075413.0,1460.0,0.0,11.935238095238116,129.02627559170222,1460.0,0.0,1451.7115890083564,103.5295550027449,133359.74322113814,126.04619711292499,7934.9767320715355,297482.037899427,1.5150574E7,0.0,4.5697531E7,29032.738881829617,568660.5696502452,1.5152923E7,0.0,4.5542896E7,10885.013384321257,349372.7615318012,1.5150574E7,0.0,0,0,0,0,31500,83712,34.46575702306543,91.58044008985956,0.0,1460.0,1057.8392640166671,651.430629562106,424361.8651316817,1,0,1,303,5760,0,0,0,2.0,1058.0229166666666,11.935238095238095,1451.7115890083633,0,0,0,1523110,1048,1610755,315,3759,837,1215082,1022,480,24,20,2454834.3333333335,4249863.642747416,7362154.0,57.0,1.2442131666666666E7,4308077.93377004,1.5150574E7,7474354.0,NeedManualLabel
192.168.0.194-192.168.0.126-64505-8081-6,192.168.0.194,64505,192.168.0.126,8081,6,25/02/2026 03:40:19 PM,1251125,1369,5735,2436.0,8368366.0,1218.0,0.0,1.7794010226442616,46.537362992753714,1460.0,0.0,1459.1745422842225,30.650926511024362,6690620.041962233,5678.089719252673,176.14036322680536,6142.7747300831015,517076.0,0.0,1251125.0,914.5650584795326,13978.469742413985,517076.0,21.0,1241609.0,216.53453086850325,6895.606554428213,521629.0,0.0,0,0,0,0,27392,114712,1094.2152063143171,4583.874512938355,0.0,1460.0,1178.1565095003475,576.0255474376785,331805.43130087724,1,2,1,418,7103,0,0,0,4.0,1178.3223536036037,1.7794010226442658,1459.1745422842198,0,0,0,8370802,5735,6744141,0,0,0,0,65535,548,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-192.168.0.126-65506-8081-6,192.168.0.194,65506,192.168.0.126,8081,6,25/02/2026 03:40:21 PM,12826133,1150,4908,2436.0,7150250.0,1218.0,0.0,2.1182608695652116,50.77200283615517,1460.0,0.0,1456.8561532192336,64.61050464758594,557665.0421448147,472.3169485300051,2117.571900280668,79862.59244761543,4759352.0,0.0,1.2826133E7,11162.865970409051,183154.9284937766,4759352.0,49.0,8060286.0,1642.609741186061,57170.215403313305,3382263.0,0.0,0,0,0,0,23012,98172,89.66069508245393,382.6562534475512,0.0,1460.0,1180.5060240963865,574.0837651861732,329572.1694503333,1,2,1,372,6057,0,0,0,4.0,1180.700891383295,2.1182608695652174,1456.8561532192339,0,0,0,7152686,4903,4941089,383,812,1636,2383416,65535,548,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-199.232.46.248-58270-443-6,192.168.0.194,58270,199.232.46.248,443,6,25/02/2026 03:39:52 PM,59131953,2,4,2.0,24.0,1.0,1.0,1.0,0.0,24.0,0.0,6.0,12.0,0.43969459287096435,0.10146798297022254,1.18263906E7,1.951519694108109E7,4.5014178E7,0.0,4.5064477E7,4.5064477E7,0.0,4.5064477E7,4.5064477E7,5.9081654E7,1.9693884666666664E7,2.3064085399677165E7,4.5067102E7,0.0,0,0,0,0,40,104,0.03382266099007418,0.06764532198014836,0.0,24.0,3.857142857142857,8.89622712968015,79.14285714285714,1,0,0,1,6,0,0,0,2.0,4.5,1.0,6.0,0,0,0,0,0,0,1,1,2,12,254,299,1,20,51611.5,1856.1553006146873,52924.0,50299.0,2.9514365E7,2.192004575884681E7,4.5014178E7,1.4014552E7,NeedManualLabel
192.168.0.194-23.48.226.9-63518-443-6,192.168.0.194,63518,23.48.226.9,443,6,25/02/2026 03:39:32 PM,80635187,3,4,2.0,24.0,1.0,0.0,0.6666666666666667,0.5773502691896257,24.0,0.0,6.0,12.0,0.3224398797512555,0.08681073685610724,1.3439197833333334E7,2.094528209852202E7,4.5002418E7,0.0,8.0489924E7,4.0244962E7,6814547.856427306,4.5063575E7,3.5426349E7,8.057403E7,2.685801E7,2.374154302292848E7,4.5045832E7,0.0,0,0,0,0,60,104,0.037204601509760245,0.049606135346346995,0.0,24.0,3.375,8.348438690643214,69.69642857142858,2,0,0,1,7,0,0,0,1.0,3.857142857142857,0.6666666666666666,6.0,0,0,0,0,0,0,1,1,2,12,2043,497,1,20,52285.5,12546.195618592912,61157.0,43414.0,4.01926765E7,6802001.660808714,4.5002418E7,3.5382935E7,NeedManualLabel
192.168.0.194-40.104.66.178-64634-443-6,192.168.0.194,64634,40.104.66.178,443,6,25/02/2026 03:40:57 PM,49347,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.529312825501044,49347.0,0.0,49347.0,49347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.264656412750522,20.264656412750522,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1020,251,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-40.104.66.178-64635-443-6,192.168.0.194,64635,40.104.66.178,443,6,25/02/2026 03:40:57 PM,49444,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4498017959712,49444.0,0.0,49444.0,49444.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.2249008979856,20.2249008979856,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1021,251,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.194-40.126.35.87-64636-443-6,192.168.0.194,64636,40.126.35.87,443,6,25/02/2026 03:40:57 PM,75454,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.50621570758343,75454.0,0.0,75454.0,75454.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13.253107853791715,13.253107853791715,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,250,16385,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
